465	821
487	818
515	819
579	824
638	825
684	830
736	837
773	843
828	850
882	858
954	872
1006	887
1021	892
1061	886
1115	882
1202	880
1308	876
1405	872
1482	866
1563	850
1485	834
1428	820
1327	786
1284	759
1282	737
1288	720
1334	718
1458	742
1529	744
1646	764
1770	795
1796	802
1843	800
1915	805
1995	819
2079	837
2123	850
2153	854
2184	859
2237	882
2287	910
2342	947
2382	983
2402	1009
2420	1027
2422	1033
2419	1054
2415	1066
2407	1071
2389	1069
2386	1076
2382	1091
2375	1095
2349	1101
2312	1110
2247	1127
2178	1141
2125	1149
2059	1153
2004	1159
1908	1165
1785	1168
1713	1169
1615	1176
1584	1177
1539	1204
1497	1225
1459	1242
1432	1254
1357	1291
1322	1301
1282	1307
1248	1312
1222	1313
1205	1313
1183	1315
1143	1314
1084	1318
1009	1312
953	1280
966	1254
993	1216
1022	1189
1058	1174
1109	1169
1146	1163
1186	1158
1224	1160
1255	1163
1296	1158
1437	1146
1363	1141
1264	1142
1142	1142
1026	1148
1008	1149
985	1159
957	1170
911	1182
865	1191
820	1197
750	1205
621	1226
550	1241
528	1243
508	1230
448	1162
404	1098
387	1034
383	975
394	914
411	859
450	827
