1367	1180
1422	1163
1470	1159
1548	1162
1629	1177
1740	1201
1817	1215
1905	1223
2070	1229
2166	1229
2231	1237
2268	1247
2282	1259
2319	1280
2343	1305
2368	1341
2391	1359
2399	1375
2421	1400
2444	1426
2446	1437
2455	1442
2470	1463
2473	1475
2493	1495
2503	1516
2516	1532
2521	1542
2533	1552
2543	1570
2553	1583
2577	1628
2584	1636
2601	1666
2606	1677
2621	1697
2634	1726
2634	1731
2647	1765
2646	1780
2654	1794
2654	1801
2655	1832
2655	1856
2652	1871
2647	1912
2631	1947
2603	1987
2573	2015
2526	2036
2475	2049
2417	2051
2328	2039
2264	2025
2198	2003
2108	1968
2029	1928
1965	1888
1883	1835
1801	1776
1718	1712
1654	1666
1589	1616
1525	1559
1466	1501
1425	1455
1387	1403
1357	1359
1319	1311
1341	1257
1357	1217
1366	1187
